Viale Roma;05:50;06:20;06:45;07:10;07:45;08:30;09:45;10:45;11:30;12:10;12:45;13:15;14:05;14:30;15:30;16:40;17:10;17:50;18:30;19:00;19:40;20:15;
Piazzale De Gasperi;05:51;06:21;06:46;07:11;07:46;08:31;09:46;10:46;11:31;12:11;12:46;13:16;14:06;14:31;15:31;16:41;17:11;17:51;18:31;19:01;19:41;20:16;
Piazzale Giusti 22;05:52;06:22;06:47;07:12;07:47;08:32;09:47;10:47;11:32;12:12;12:47;13:17;14:07;14:32;15:32;16:42;17:12;17:52;18:32;19:02;19:42;20:17;
Via Bonollo Fronte Civico 15;05:52;06:22;06:47;07:12;07:47;08:32;09:47;10:47;11:32;12:12;12:47;13:17;14:07;14:32;15:32;16:42;17:12;17:52;18:32;19:02;19:42;20:17;
V.Le Mazzini Fronte Civico 79;05:52;06:22;06:47;07:13;07:48;08:33;09:48;10:48;11:33;12:13;12:48;13:18;14:08;14:33;15:33;16:43;17:13;17:53;18:33;19:03;19:43;20:18;
Viale Trento 108;05:53;06:23;06:48;07:14;07:49;08:34;09:49;10:49;11:34;12:14;12:49;13:19;14:09;14:34;15:34;16:44;17:14;17:54;18:34;19:04;19:44;20:19;
Viale Trento 190;05:53;06:23;06:48;07:15;07:50;08:35;09:50;10:50;11:35;12:15;12:50;13:20;14:10;14:35;15:35;16:45;17:15;17:55;18:35;19:05;19:45;20:20;
Viale Trento 268;05:54;06:24;06:49;07:16;07:51;08:36;09:51;10:51;11:36;12:16;12:51;13:21;14:11;14:36;15:36;16:46;17:16;17:56;18:36;19:06;19:46;20:21;
Viale Trento 350;05:54;06:24;06:49;07:16;07:51;08:36;09:51;10:51;11:36;12:16;12:51;13:21;14:11;14:36;15:36;16:46;17:16;17:56;18:36;19:06;19:46;20:21;
Strada Pasubio 40;05:56;06:26;06:51;07:18;07:53;08:38;09:53;10:53;11:38;12:18;12:53;13:23;14:13;14:38;15:38;16:48;17:18;17:58;18:38;19:08;19:48;20:23;
